Code	System	Display	Definition
1636-0	http://terminology.hl7.org/CodeSystem/v3-Race	Upper Sioux	Upper Sioux
1637-8	http://terminology.hl7.org/CodeSystem/v3-Race	Wahpekute Sioux	Wahpekute Sioux
1638-6	http://terminology.hl7.org/CodeSystem/v3-Race	Wahpeton Sioux	Wahpeton Sioux
1639-4	http://terminology.hl7.org/CodeSystem/v3-Race	Wazhaza Sioux	Wazhaza Sioux
1640-2	http://terminology.hl7.org/CodeSystem/v3-Race	Yankton Sioux	Yankton Sioux
1641-0	http://terminology.hl7.org/CodeSystem/v3-Race	Yanktonai Sioux	Yanktonai Sioux
1643-6	http://terminology.hl7.org/CodeSystem/v3-Race	Siuslaw	Siuslaw
1645-1	http://terminology.hl7.org/CodeSystem/v3-Race	Spokane	Spokane
1647-7	http://terminology.hl7.org/CodeSystem/v3-Race	Stewart	Stewart
1649-3	http://terminology.hl7.org/CodeSystem/v3-Race	Stockbridge	Stockbridge
1651-9	http://terminology.hl7.org/CodeSystem/v3-Race	Susanville	Susanville
1653-5	http://terminology.hl7.org/CodeSystem/v3-Race	Tohono O'Odham	Tohono O'Odham
1654-3	http://terminology.hl7.org/CodeSystem/v3-Race	Ak-Chin	Ak-Chin
1655-0	http://terminology.hl7.org/CodeSystem/v3-Race	Gila Bend	Gila Bend
1656-8	http://terminology.hl7.org/CodeSystem/v3-Race	San Xavier	San Xavier
1657-6	http://terminology.hl7.org/CodeSystem/v3-Race	Sells	Sells
1659-2	http://terminology.hl7.org/CodeSystem/v3-Race	Tolowa	Tolowa
1661-8	http://terminology.hl7.org/CodeSystem/v3-Race	Tonkawa	Tonkawa
1663-4	http://terminology.hl7.org/CodeSystem/v3-Race	Tygh	Tygh
1665-9	http://terminology.hl7.org/CodeSystem/v3-Race	Umatilla	Umatilla
1667-5	http://terminology.hl7.org/CodeSystem/v3-Race	Umpqua	Umpqua
1668-3	http://terminology.hl7.org/CodeSystem/v3-Race	Cow Creek Umpqua	Cow Creek Umpqua
1670-9	http://terminology.hl7.org/CodeSystem/v3-Race	Ute	Ute
1671-7	http://terminology.hl7.org/CodeSystem/v3-Race	Allen Canyon	Allen Canyon
1672-5	http://terminology.hl7.org/CodeSystem/v3-Race	Uintah Ute	Uintah Ute
1673-3	http://terminology.hl7.org/CodeSystem/v3-Race	Ute Mountain Ute	Ute Mountain Ute
1675-8	http://terminology.hl7.org/CodeSystem/v3-Race	Wailaki	Wailaki
1677-4	http://terminology.hl7.org/CodeSystem/v3-Race	Walla-Walla	Walla-Walla
1679-0	http://terminology.hl7.org/CodeSystem/v3-Race	Wampanoag	Wampanoag
1680-8	http://terminology.hl7.org/CodeSystem/v3-Race	Gay Head Wampanoag	Gay Head Wampanoag
1681-6	http://terminology.hl7.org/CodeSystem/v3-Race	Mashpee Wampanoag	Mashpee Wampanoag
1683-2	http://terminology.hl7.org/CodeSystem/v3-Race	Warm Springs	Warm Springs
1685-7	http://terminology.hl7.org/CodeSystem/v3-Race	Wascopum	Wascopum
1687-3	http://terminology.hl7.org/CodeSystem/v3-Race	Washoe	Washoe
